onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
1.987	0.258	fixation	n/a	511.4	232.8	748.0	n/a	n/a	n/a	n/a
2.022	0.0	trigger_112	112	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.024	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.042	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.247	0.038	saccade	n/a	518.8	229.1	n/a	466.8	232.7	2.08	204.0
2.287	0.334	fixation	n/a	456.3	232.3	751.0	n/a	n/a	n/a	n/a
2.623	0.036	saccade	n/a	464.9	228.4	n/a	409.9	229.3	2.2	192.0
2.661	0.256	fixation	n/a	399.5	230.3	744.0	n/a	n/a	n/a	n/a
2.919	0.014	saccade	n/a	402.2	226.0	n/a	399.3	216.7	0.4	58.0
2.935	0.212	fixation	n/a	397.1	221.7	739.0	n/a	n/a	n/a	n/a
3.149	0.02	saccade	n/a	400.5	224.6	n/a	357.5	221.8	1.73	155.0
3.171	0.176	fixation	n/a	359.9	221.1	719.0	n/a	n/a	n/a	n/a
3.349	0.094	saccade	n/a	373.6	227.6	n/a	398.4	230.5	1.0	650.0
3.371	0.042	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.445	0.558	fixation	n/a	380.2	228.2	699.0	n/a	n/a	n/a	n/a
4.005	0.02	saccade	n/a	381.7	222.4	n/a	421.9	214.6	1.65	132.0
4.027	0.128	fixation	n/a	413.3	221.6	687.0	n/a	n/a	n/a	n/a
4.157	0.026	saccade	n/a	414.4	223.6	n/a	507.9	218.3	3.75	242.0
4.185	0.16	fixation	n/a	500.5	222.4	661.0	n/a	n/a	n/a	n/a
4.347	0.056	saccade	n/a	500.9	223.4	n/a	264.1	109.9	10.53	373.0
4.405	0.15	fixation	n/a	245.3	114.7	628.0	n/a	n/a	n/a	n/a
4.557	0.042	saccade	n/a	249.1	114.2	n/a	134.3	82.1	4.7	250.0
4.601	0.374	fixation	n/a	122.7	88.5	631.0	n/a	n/a	n/a	n/a
4.977	0.026	saccade	n/a	128.9	90.5	n/a	216.1	88.6	3.43	187.0
5.005	0.334	fixation	n/a	215.2	102.5	661.0	n/a	n/a	n/a	n/a
5.341	0.016	saccade	n/a	217.2	106.0	n/a	192.7	107.0	0.97	100.0
5.359	0.274	fixation	n/a	197.1	107.2	666.0	n/a	n/a	n/a	n/a
5.635	0.018	saccade	n/a	199.6	103.0	n/a	162.0	97.9	1.49	139.0
5.655	0.208	fixation	n/a	161.0	101.5	640.0	n/a	n/a	n/a	n/a
5.865	0.098	saccade	n/a	167.9	109.3	n/a	222.2	103.7	2.15	665.0
5.889	0.044	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.965	0.206	fixation	n/a	216.5	110.4	628.0	n/a	n/a	n/a	n/a
6.173	0.024	saccade	n/a	216.2	112.6	n/a	281.4	102.5	2.63	180.0
6.199	0.436	fixation	n/a	279.5	106.8	646.0	n/a	n/a	n/a	n/a
6.637	0.02	saccade	n/a	280.3	108.7	n/a	326.7	105.6	1.86	146.0
6.659	0.354	fixation	n/a	318.6	107.6	655.0	n/a	n/a	n/a	n/a
7.015	0.02	saccade	n/a	320.4	107.7	n/a	274.1	115.0	1.88	152.0
7.037	0.472	fixation	n/a	276.7	108.5	660.0	n/a	n/a	n/a	n/a
7.511	0.02	saccade	n/a	282.0	108.9	n/a	339.2	98.1	2.33	182.0
7.533	0.384	fixation	n/a	336.2	103.7	654.0	n/a	n/a	n/a	n/a
7.919	0.02	saccade	n/a	336.0	105.1	n/a	383.7	92.0	1.99	152.0
7.941	0.28	fixation	n/a	377.1	101.4	639.0	n/a	n/a	n/a	n/a
8.223	0.02	saccade	n/a	379.4	107.3	n/a	419.6	95.7	1.69	132.0
8.245	0.162	fixation	n/a	414.5	99.2	623.0	n/a	n/a	n/a	n/a
8.409	0.02	saccade	n/a	416.5	101.0	n/a	459.9	92.2	1.78	146.0
8.431	0.308	fixation	n/a	453.0	96.5	607.0	n/a	n/a	n/a	n/a
8.741	0.02	saccade	n/a	453.5	101.9	n/a	501.0	95.2	1.93	149.0
8.763	0.166	fixation	n/a	493.5	100.6	601.0	n/a	n/a	n/a	n/a
8.931	0.064	saccade	n/a	493.7	100.0	n/a	148.5	150.9	13.83	379.0
8.997	0.314	fixation	n/a	125.6	159.4	616.0	n/a	n/a	n/a	n/a
9.313	0.058	saccade	n/a	128.9	162.7	n/a	246.6	168.9	4.64	240.0
9.373	0.316	fixation	n/a	240.9	164.9	633.0	n/a	n/a	n/a	n/a
9.691	0.024	saccade	n/a	242.3	167.2	n/a	314.4	164.4	2.89	195.0
9.717	0.25	fixation	n/a	306.2	166.7	628.0	n/a	n/a	n/a	n/a
9.969	0.024	saccade	n/a	308.8	165.0	n/a	366.2	158.7	2.32	168.0
9.995	0.272	fixation	n/a	360.3	166.1	631.0	n/a	n/a	n/a	n/a
10.269	0.022	saccade	n/a	361.1	166.2	n/a	410.8	159.7	2.02	170.0
10.293	0.232	fixation	n/a	401.8	163.0	632.0	n/a	n/a	n/a	n/a
10.527	0.024	saccade	n/a	405.1	164.0	n/a	458.9	160.7	2.17	161.0
10.553	0.384	fixation	n/a	449.7	166.4	625.0	n/a	n/a	n/a	n/a
10.939	0.052	saccade	n/a	451.9	166.9	n/a	557.8	177.1	4.25	207.0
10.993	0.212	fixation	n/a	548.5	166.4	606.0	n/a	n/a	n/a	n/a
11.207	0.012	saccade	n/a	548.5	168.0	n/a	524.6	167.5	0.95	94.0
11.221	0.246	fixation	n/a	530.5	170.9	601.0	n/a	n/a	n/a	n/a
11.469	0.174	saccade	n/a	542.2	174.2	n/a	575.7	170.0	1.34	562.0
11.489	0.106	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.645	0.136	fixation	n/a	566.3	173.7	581.0	n/a	n/a	n/a	n/a
11.783	0.06	saccade	n/a	563.2	176.4	n/a	154.6	240.2	16.26	398.0
11.845	0.24	fixation	n/a	128.6	242.1	622.0	n/a	n/a	n/a	n/a
12.087	0.018	saccade	n/a	130.9	237.8	n/a	160.9	221.9	1.33	124.0
12.107	0.24	fixation	n/a	159.8	228.8	625.0	n/a	n/a	n/a	n/a
12.349	0.026	saccade	n/a	164.6	231.1	n/a	260.1	227.8	3.77	227.0
12.377	0.35	fixation	n/a	253.6	230.6	639.0	n/a	n/a	n/a	n/a
12.729	0.024	saccade	n/a	256.1	231.3	n/a	320.6	223.1	2.59	182.0
12.755	0.274	fixation	n/a	312.6	226.5	632.0	n/a	n/a	n/a	n/a
13.031	0.026	saccade	n/a	313.9	225.6	n/a	389.8	218.7	3.05	195.0
13.059	0.282	fixation	n/a	383.6	224.1	620.0	n/a	n/a	n/a	n/a
13.343	0.016	saccade	n/a	385.5	225.8	n/a	354.8	229.2	1.24	114.0
13.361	0.218	fixation	n/a	356.6	228.9	624.0	n/a	n/a	n/a	n/a
13.581	0.052	saccade	n/a	360.7	229.5	n/a	469.1	241.0	4.37	246.0
13.635	0.334	fixation	n/a	460.8	227.5	629.0	n/a	n/a	n/a	n/a
13.971	0.026	saccade	n/a	462.6	226.1	n/a	533.1	220.4	2.82	187.0
13.999	0.326	fixation	n/a	520.3	230.0	641.0	n/a	n/a	n/a	n/a
14.327	0.054	saccade	n/a	521.3	226.4	n/a	610.5	233.6	3.54	223.0
14.383	0.52	fixation	n/a	601.0	228.2	644.0	n/a	n/a	n/a	n/a
14.905	0.182	saccade	n/a	609.9	239.3	n/a	371.2	572.4	15.79	1097.0
14.933	0.112	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.089	0.264	fixation	n/a	374.4	563.9	631.0	n/a	n/a	n/a	n/a
15.3	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.304	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.355	0.026	saccade	n/a	377.3	559.5	n/a	448.4	549.5	2.75	203.0
15.383	0.29	fixation	n/a	435.2	557.1	663.0	n/a	n/a	n/a	n/a
15.675	0.02	saccade	n/a	435.0	556.4	n/a	491.8	549.1	2.19	190.0
15.697	0.37	fixation	n/a	482.6	554.6	643.0	n/a	n/a	n/a	n/a
16.069	0.136	saccade	n/a	491.4	554.6	n/a	548.8	563.4	2.21	616.0
16.093	0.072	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.207	0.466	fixation	n/a	537.0	554.3	654.0	n/a	n/a	n/a	n/a
16.675	0.04	saccade	n/a	546.9	550.7	n/a	608.0	553.4	2.32	239.0
16.717	0.206	fixation	n/a	609.7	548.5	659.0	n/a	n/a	n/a	n/a
16.925	0.056	saccade	n/a	610.3	550.4	n/a	497.4	257.2	12.12	378.0
16.983	0.044	fixation	n/a	496.6	259.5	649.0	n/a	n/a	n/a	n/a
17.029	0.042	saccade	n/a	495.9	258.3	n/a	454.6	172.1	3.87	233.0
17.073	0.306	fixation	n/a	454.0	161.1	639.0	n/a	n/a	n/a	n/a
17.381	0.066	saccade	n/a	462.9	154.1	n/a	399.7	89.3	3.67	274.0
17.449	0.132	fixation	n/a	395.3	83.1	626.0	n/a	n/a	n/a	n/a
17.583	0.088	saccade	n/a	399.8	83.1	n/a	135.1	89.2	10.49	339.0
17.673	0.162	fixation	n/a	136.4	84.6	632.0	n/a	n/a	n/a	n/a
17.837	0.018	saccade	n/a	139.1	86.3	n/a	104.7	96.3	1.39	134.0
17.857	0.306	fixation	n/a	110.1	100.4	668.0	n/a	n/a	n/a	n/a
18.165	0.022	saccade	n/a	113.4	103.1	n/a	182.7	97.1	2.72	192.0
18.189	0.262	fixation	n/a	180.8	100.4	676.0	n/a	n/a	n/a	n/a
18.453	0.06	saccade	n/a	183.2	94.2	n/a	278.5	82.9	3.81	256.0
18.515	0.358	fixation	n/a	276.9	83.4	634.0	n/a	n/a	n/a	n/a
18.875	0.022	saccade	n/a	283.4	86.8	n/a	333.6	97.0	2.05	150.0
18.899	0.33	fixation	n/a	323.9	98.4	625.0	n/a	n/a	n/a	n/a
19.231	0.118	saccade	n/a	336.2	100.4	n/a	403.8	80.2	2.84	660.0
19.251	0.064	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
