sentence_id	word_id	word	nfixations	meanpupilsize	ffd	sfd	gd	gpt	trt	ffd_pupilsize	gd_pupilsize	gpt_pupilsize	trt_pupilsize	ffd_t1_mean	ffd_t2_mean	ffd_a1_mean	ffd_a2_mean	ffd_b1_mean	ffd_b2_mean	ffd_g1_mean	ffd_g2_mean	sfd_t1_mean	sfd_t2_mean	sfd_a1_mean	sfd_a2_mean	sfd_b1_mean	sfd_b2_mean	sfd_g1_mean	sfd_g2_mean	gd_t1_mean	gd_t2_mean	gd_a1_mean	gd_a2_mean	gd_b1_mean	gd_b2_mean	gd_g1_mean	gd_g2_mean	gpt_t1_mean	gpt_t2_mean	gpt_a1_mean	gpt_a2_mean	gpt_b1_mean	gpt_b2_mean	gpt_g1_mean	gpt_g2_mean	trt_t1_mean	trt_t2_mean	trt_a1_mean	trt_a2_mean	trt_b1_mean	trt_b2_mean	trt_g1_mean	trt_g2_mean
1	1	With	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	2	his	2.0	350.5	76.0	n/a	174.0	174.0	174.0	362.0	350.5	350.5	350.5	1.531534	1.13832	1.147075	1.536268	2.029369	1.651661	0.860738	0.866202	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.190859	1.059553	1.029272	1.281795	1.495664	1.484243	0.984475	0.800244	1.190859	1.059553	1.029272	1.281795	1.495664	1.484243	0.984475	0.800244	1.190859	1.059553	1.029272	1.281795	1.495664	1.484243	0.984475	0.800244
1	3	interest	2.0	322.0	108.0	n/a	108.0	108.0	211.0	341.0	341.0	341.0	322.0	1.434026	1.81955	1.442303	0.918194	1.001764	1.257367	1.005233	0.774807	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.434026	1.81955	1.442303	0.918194	1.001764	1.257367	1.005233	0.774807	1.434026	1.81955	1.442303	0.918194	1.001764	1.257367	1.005233	0.774807	1.797731	1.508851	1.391475	1.222501	1.104161	1.166836	0.961615	0.731062
1	4	in	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	5	race	2.0	312.0	117.0	n/a	117.0	117.0	256.0	336.0	336.0	336.0	312.0	1.931539	1.720735	1.382599	1.590569	2.515109	1.454766	1.155449	0.796332	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.931539	1.720735	1.382599	1.590569	2.515109	1.454766	1.155449	0.796332	1.931539	1.720735	1.382599	1.590569	2.515109	1.454766	1.155449	0.796332	1.657199	1.465377	1.484213	1.727321	2.407068	1.509481	1.05859	0.8236
1	6	cars,	1.0	333.0	121.0	121.0	121.0	121.0	121.0	333.0	333.0	333.0	333.0	1.454891	1.631988	1.827765	1.445673	1.630667	1.260182	0.932476	0.852286	1.454891	1.631988	1.827765	1.445673	1.630667	1.260182	0.932476	0.852286	1.454891	1.631988	1.827765	1.445673	1.630667	1.260182	0.932476	0.852286	1.454891	1.631988	1.827765	1.445673	1.630667	1.260182	0.932476	0.852286	1.454891	1.631988	1.827765	1.445673	1.630667	1.260182	0.932476	0.852286
1	7	he	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	8	formed	1.0	322.0	111.0	111.0	111.0	111.0	111.0	322.0	322.0	322.0	322.0	1.913634	1.204959	0.820192	1.279893	1.46534	1.46714	0.922748	0.633279	1.913634	1.204959	0.820192	1.279893	1.46534	1.46714	0.922748	0.633279	1.913634	1.204959	0.820192	1.279893	1.46534	1.46714	0.922748	0.633279	1.913634	1.204959	0.820192	1.279893	1.46534	1.46714	0.922748	0.633279	1.913634	1.204959	0.820192	1.279893	1.46534	1.46714	0.922748	0.633279
1	9	a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	10	second	1.0	313.0	91.0	91.0	91.0	91.0	91.0	313.0	313.0	313.0	313.0	1.766095	1.662017	1.164123	0.942845	1.270458	1.667019	1.293898	0.993245	1.766095	1.662017	1.164123	0.942845	1.270458	1.667019	1.293898	0.993245	1.766095	1.662017	1.164123	0.942845	1.270458	1.667019	1.293898	0.993245	1.766095	1.662017	1.164123	0.942845	1.270458	1.667019	1.293898	0.993245	1.766095	1.662017	1.164123	0.942845	1.270458	1.667019	1.293898	0.993245
