onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
0.01	0.712	fixation	n/a	396.7	309.6	1273.0	n/a	n/a	n/a	n/a
0.724	0.022	saccade	n/a	402.5	313.0	n/a	351.4	275.9	2.53	200.0
0.748	1.476	fixation	n/a	359.1	273.7	1378.0	n/a	n/a	n/a	n/a
2.058	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.058	0.0	trigger_93	93	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.07	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.226	0.036	saccade	n/a	358.6	277.0	n/a	278.3	137.7	6.49	314.0
2.264	0.154	fixation	n/a	286.3	145.3	1422.0	n/a	n/a	n/a	n/a
2.42	0.024	saccade	n/a	292.3	148.6	n/a	269.0	116.3	1.61	84.0
2.446	0.118	fixation	n/a	259.6	105.5	1440.0	n/a	n/a	n/a	n/a
2.566	0.016	saccade	n/a	260.5	103.8	n/a	228.3	94.3	1.34	121.0
2.584	0.132	fixation	n/a	227.5	92.3	1429.0	n/a	n/a	n/a	n/a
2.718	0.028	saccade	n/a	226.2	94.0	n/a	151.1	91.3	2.96	180.0
2.748	0.182	fixation	n/a	153.5	94.8	1363.0	n/a	n/a	n/a	n/a
2.932	0.038	saccade	n/a	153.3	97.0	n/a	323.8	92.3	6.76	269.0
2.972	0.224	fixation	n/a	320.1	91.6	1299.0	n/a	n/a	n/a	n/a
3.198	0.026	saccade	n/a	318.1	91.4	n/a	406.2	85.5	3.55	224.0
3.226	0.196	fixation	n/a	412.2	85.0	1267.0	n/a	n/a	n/a	n/a
3.424	0.034	saccade	n/a	412.0	86.6	n/a	576.5	78.0	6.59	326.0
3.46	0.19	fixation	n/a	576.7	80.2	1241.0	n/a	n/a	n/a	n/a
3.652	0.048	saccade	n/a	576.2	80.8	n/a	208.1	124.8	14.69	520.0
3.702	0.126	fixation	n/a	225.1	128.2	1283.0	n/a	n/a	n/a	n/a
3.83	0.026	saccade	n/a	226.3	130.6	n/a	152.5	142.4	2.94	207.0
3.858	0.146	fixation	n/a	160.6	145.3	1280.0	n/a	n/a	n/a	n/a
4.006	0.042	saccade	n/a	161.2	145.8	n/a	417.7	142.3	10.2	426.0
4.05	0.24	fixation	n/a	417.3	145.3	1284.0	n/a	n/a	n/a	n/a
4.292	0.014	saccade	n/a	421.1	144.7	n/a	450.8	144.2	1.2	111.0
4.308	0.092	fixation	n/a	446.3	144.1	1266.0	n/a	n/a	n/a	n/a
4.402	0.038	saccade	n/a	447.2	145.9	n/a	285.4	154.0	6.49	291.0
4.442	0.35	fixation	n/a	294.9	153.9	1286.0	n/a	n/a	n/a	n/a
4.794	0.024	saccade	n/a	296.1	154.3	n/a	212.8	150.8	3.32	192.0
4.82	0.252	fixation	n/a	207.0	152.4	1259.0	n/a	n/a	n/a	n/a
5.074	0.308	saccade	n/a	235.8	159.5	n/a	343.9	185.4	4.44	299.0
5.144	0.134	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.384	0.216	fixation	n/a	342.0	152.6	1190.0	n/a	n/a	n/a	n/a
5.602	0.028	saccade	n/a	340.8	148.0	n/a	427.4	148.9	3.49	174.0
5.632	0.212	fixation	n/a	421.8	147.7	1170.0	n/a	n/a	n/a	n/a
5.846	0.03	saccade	n/a	422.2	146.9	n/a	284.2	154.6	5.55	303.0
